"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 08 09:16:36 GMT 2022","Mon Aug 08 09:16:36 GMT 2022","309","","tests.api.RegistrationTest","","tests.api.RegistrationTest","checkingRegistrationSuccess","checkingRegistrationSuccess",""
"passed","Mon Aug 08 09:16:36 GMT 2022","Mon Aug 08 09:16:36 GMT 2022","277","","tests.api.RegistrationTest","","tests.api.RegistrationTest","checkingRegistrationFail","checkingRegistrationFail",""
"passed","Mon Aug 08 09:16:43 GMT 2022","Mon Aug 08 09:16:44 GMT 2022","600","","tests.api.CreatingUserTest","","tests.api.CreatingUserTest","failCreateUser","failCreateUser",""
"passed","Mon Aug 08 09:16:44 GMT 2022","Mon Aug 08 09:16:44 GMT 2022","281","","tests.api.GettingResourcesTest","","tests.api.GettingResourcesTest","checkingGetResources","checkingGetResources",""
"passed","Mon Aug 08 09:16:35 GMT 2022","Mon Aug 08 09:16:36 GMT 2022","289","","tests.api.DeletingUserTest","","tests.api.DeletingUserTest","checkingDeleteUser","checkingDeleteUser",""
"passed","Mon Aug 08 09:16:42 GMT 2022","Mon Aug 08 09:16:43 GMT 2022","249","","tests.api.LoginTest","","tests.api.LoginTest","checkingLoginFail","checkingLoginFail",""
"passed","Mon Aug 08 09:16:31 GMT 2022","Mon Aug 08 09:16:34 GMT 2022","3265","","tests.api.GettingUserTest","","tests.api.GettingUserTest","checkingGetUser","checkingGetUser",""
"passed","Mon Aug 08 09:16:34 GMT 2022","Mon Aug 08 09:16:35 GMT 2022","322","","tests.api.GettingUserTest","","tests.api.GettingUserTest","checkingGetUserFail","checkingGetUserFail",""
"failed","Mon Aug 08 09:16:43 GMT 2022","Mon Aug 08 09:16:43 GMT 2022","303","","tests.api.CreatingUserTest","","tests.api.CreatingUserTest","failCreateUserWithoutBody","failCreateUserWithoutBody",""
"passed","Mon Aug 08 09:16:35 GMT 2022","Mon Aug 08 09:16:35 GMT 2022","308","","tests.api.UpdatingUserTest","","tests.api.UpdatingUserTest","checkingUpdatingUser","checkingUpdatingUser",""
"failed","Mon Aug 08 09:16:37 GMT 2022","Mon Aug 08 09:16:42 GMT 2022","5295","","tests.api.DelayedResponseTest","","tests.api.DelayedResponseTest","checkingGetUserWithDelay","checkingGetUserWithDelay",""
"passed","Mon Aug 08 09:16:42 GMT 2022","Mon Aug 08 09:16:42 GMT 2022","254","","tests.api.GettingResourceTest","","tests.api.GettingResourceTest","checkingGetResourceFail","checkingGetResourceFail",""
"passed","Mon Aug 08 09:16:36 GMT 2022","Mon Aug 08 09:16:37 GMT 2022","172","","tests.api.GettingUsersTest","","tests.api.GettingUsersTest","checkingGetUsers","checkingGetUsers",""
"passed","Mon Aug 08 09:16:42 GMT 2022","Mon Aug 08 09:16:42 GMT 2022","263","","tests.api.LoginTest","","tests.api.LoginTest","checkingLoginSuccess","checkingLoginSuccess",""
"passed","Mon Aug 08 09:16:43 GMT 2022","Mon Aug 08 09:16:43 GMT 2022","257","","tests.api.CreatingUserTest","","tests.api.CreatingUserTest","checkingCreateUser","checkingCreateUser",""
"passed","Mon Aug 08 09:16:42 GMT 2022","Mon Aug 08 09:16:42 GMT 2022","69","","tests.api.GettingResourceTest","","tests.api.GettingResourceTest","checkingGetResource","checkingGetResource",""
"failed","Mon Aug 08 09:16:44 GMT 2022","Mon Aug 08 09:17:05 GMT 2022","20688","","tests.ui.BookingTest","","tests.ui.BookingTest","hotelStarsCountTest","hotelStarsCountTest",""
"passed","Mon Aug 08 09:16:35 GMT 2022","Mon Aug 08 09:16:35 GMT 2022","524","","tests.api.PatchingUserTest","","tests.api.PatchingUserTest","checkingPatchingUser","checkingPatchingUser",""
